gene_id,gene_name
ensg00000223972,ddx11l1
ensg00000227232,wash7p
ensg00000278267,mir6859-1
ensg00000243485,mir1302-2
ensg00000237613,fam138a
ensg00000268020,or4g4p
ensg00000240361,or4g11p
ensg00000186092,or4f5
ensg00000238009,rp11-34p13.7
ensg00000239945,rp11-34p13.8
ensg00000233750,cicp27
ensg00000268903,rp11-34p13.15
ensg00000269981,rp11-34p13.16
ensg00000239906,rp11-34p13.14
ensg00000241860,rp11-34p13.13
ensg00000222623,rnu6-1100p
ensg00000241599,rp11-34p13.9
ensg00000279928,fo538757.2
ensg00000279457,fo538757.1
ensg00000273874,mir6859-2
ensg00000228463,ap006222.2
ensg00000241670,rpl23ap21
ensg00000236679,rpl23ap24
ensg00000236743,rp5-857k21.15
ensg00000236601,rp4-669l17.2
ensg00000237094,rp4-669l17.10
ensg00000269732,wbp1lp7
ensg00000278566,or4f29
ensg00000224813,sept14p13
ensg00000233653,cicp7
ensg00000250575,rp4-669l17.8
ensg00000278757,u6
ensg00000230021,rp5-857k21.4
ensg00000235146,rp5-857k21.2
ensg00000225972,mtnd1p23
ensg00000225630,mtnd2p28
ensg00000237973,mtco1p12
ensg00000278791,mir6723
ensg00000229344,mtco2p12
ensg00000240409,mtatp8p1
ensg00000248527,mtatp6p1
ensg00000198744,mtco3p12
ensg00000268663,wbp1lp6
ensg00000273547,or4f16
ensg00000283574,rp11-206l10.17
ensg00000229376,cicp3
ensg00000228327,rp11-206l10.2
ensg00000223181,rnu6-1199p
ensg00000229905,rp11-206l10.4
ensg00000237491,rp11-206l10.9
ensg00000230092,rp11-206l10.8
ensg00000177757,fam87b
ensg00000228794,linc01128
ensg00000225880,linc00115
ensg00000230368,fam41c
ensg00000234711,tubb8p11
ensg00000283040,fam166ap3
ensg00000272438,rp11-54o7.16
ensg00000230699,rp11-54o7.1
ensg00000241180,rp11-54o7.2
ensg00000223764,rp11-54o7.3
ensg00000187634,samd11
ensg00000188976,noc2l
ensg00000187961,klhl17
ensg00000187583,plekhn1
ensg00000187642,perm1
ensg00000272512,rp11-54o7.17
ensg00000188290,hes4
ensg00000187608,isg15
ensg00000231702,rp11-54o7.10
ensg00000224969,rp11-54o7.11
ensg00000188157,agrn
ensg00000242590,rp11-54o7.14
ensg00000217801,rp11-465b22.3
ensg00000273443,rp11-54o7.18
ensg00000237330,rnf223
ensg00000131591,c1orf159
ensg00000223823,linc01342
ensg00000207730,mir200b
ensg00000207607,mir200a
ensg00000198976,mir429
ensg00000272141,rp11-465b22.8
ensg00000205231,ttll10-as1
ensg00000162571,ttll10
ensg00000186891,tnfrsf18
ensg00000186827,tnfrsf4
ensg00000078808,sdf4
ensg00000176022,b3galt6
ensg00000184163,fam132a
ensg00000260179,rp5-902p8.12
ensg00000160087,ube2j2
ensg00000230415,rp5-902p8.10
ensg00000162572,scnn1d
ensg00000131584,acap3
ensg00000278073,mir6726
ensg00000169972,pusl1
ensg00000127054,cpsf3l
ensg00000240731,rp5-890o3.9
ensg00000224051,cptp
ensg00000169962,tas1r3
ensg00000107404,dvl1
ensg00000162576,mxra8
ensg00000175756,aurkaip1
ensg00000223663,ndufb4p8
ensg00000221978,ccnl2
ensg00000224870,rp4-758j18.2
ensg00000242485,mrpl20
ensg00000264293,rn7sl657p
ensg00000272455,rp4-758j18.13
ensg00000235098,ankrd65
ensg00000225905,rp4-758j18.7
ensg00000205116,tmem88b
ensg00000225285,rp4-758j18.10
ensg00000179403,vwa1
ensg00000215915,atad3c
ensg00000160072,atad3b
ensg00000197785,atad3a
ensg00000205090,tmem240
ensg00000160075,ssu72
ensg00000215014,rp5-832c2.5
ensg00000279244,al645728.1
ensg00000274481,rp11-345p4.11
ensg00000228594,fndc10
ensg00000272106,rp11-345p4.9
ensg00000197530,mib2
ensg00000189409,mmp23b
ensg00000248333,cdk11b
ensg00000272004,rp11-345p4.10
ensg00000189339,slc35e2b
ensg00000269737,rp11-345p4.6
ensg00000215914,mmp23a
ensg00000008128,cdk11a
ensg00000268575,rp1-283e3.8
ensg00000227775,rp1-283e3.4
ensg00000215790,slc35e2
ensg00000008130,nadk
ensg00000078369,gnb1
ensg00000231050,rp1-140a9.1
ensg00000169885,calml6
ensg00000178821,tmem52
ensg00000142609,cfap74
ensg00000233542,rp11-547d24.1
ensg00000187730,gabrd
ensg00000226969,rp11-547d24.3
ensg00000067606,prkcz
ensg00000271806,rp5-892k4.1
ensg00000182873,rp11-181g12.2
ensg00000162585,faap20
ensg00000234396,rp11-181g12.4
ensg00000157933,ski
ensg00000116151,morn1
ensg00000272161,rp4-713a8.1
ensg00000269896,rp4-740c4.5
ensg00000272420,rp4-740c4.7
ensg00000157916,rer1
ensg00000157911,pex10
ensg00000149527,plch2
ensg00000224387,rp3-395m20.2
ensg00000229393,rp3-395m20.3
ensg00000157881,pank4
ensg00000197921,hes5
ensg00000272449,rp3-395m20.12
ensg00000238164,rp3-395m20.8
ensg00000157873,tnfrsf14
ensg00000225931,rp3-395m20.7
ensg00000228037,rp3-395m20.9
ensg00000157870,fam213b
ensg00000142606,mmel1
ensg00000237058,rp13-436f16.1
ensg00000215912,ttc34
ensg00000283259,abc14-1188822o7.1
ensg00000233234,rp11-740p5.2
ensg00000231630,rp11-740p5.3
ensg00000169717,actrt2
ensg00000177133,linc00982
ensg00000142611,prdm16
ensg00000283572,mir4251
ensg00000226286,rp1-163g9.2
ensg00000279839,rp11-193j6.1
ensg00000272235,rp11-22l13.1
ensg00000130762,arhgef16
ensg00000272088,rp11-168f9.2
ensg00000162591,megf6
ensg00000207776,mir551a
ensg00000238260,rp11-46f15.2
ensg00000158109,tprg1l
ensg00000116213,wrap73
ensg00000078900,tp73
ensg00000227589,rp5-1092a11.5
ensg00000235131,rp5-1092a11.2
ensg00000227372,tp73-as1
ensg00000276189,tp73-as1
ensg00000162592,ccdc27
ensg00000235169,smim1
ensg00000130764,lrrc47
ensg00000266075,rn7sl574p
ensg00000272153,rp1-286d6.5
ensg00000116198,cep104
ensg00000169598,dffb
ensg00000198912,c1orf174
ensg00000236423,linc01134
ensg00000233304,linc01346
ensg00000226374,rp13-614k11.2
ensg00000229280,eef1dp6
ensg00000235054,rp5-1166f10.1
ensg00000227169,rp1-37j18.1
ensg00000232596,rp1-37j18.2
ensg00000196581,ajap1
ensg00000231510,rp11-542c10.1
ensg00000260972,rp1-58b11.1
ensg00000283356,rp3-491m17.1
ensg00000236948,rp11-154h17.1
ensg00000264341,mir4417
ensg00000264101,mir4689
ensg00000131697,nphp4
ensg00000069424,kcnab2
ensg00000116254,chd5
ensg00000116251,rpl22
ensg00000226944,rp1-120g22.11
ensg00000158286,rnf207
ensg00000116237,icmt
ensg00000225077,linc00337
ensg00000173673,hes3
ensg00000158292,gpr153
ensg00000097021,acot7
ensg00000271746,rp1-202o8.3
ensg00000069812,hes2
ensg00000187017,espn
ensg00000265392,mir4252
ensg00000231868,rp1-202o8.2
ensg00000215788,tnfrsf25
ensg00000171680,plekhg5
ensg00000162408,nol9
ensg00000253022,rnu6-731p
ensg00000229519,rp11-58a11.2
ensg00000173662,tas1r1
ensg00000204859,zbtb48
ensg00000162413,klhl21
ensg00000116273,phf13
ensg00000041988,thap3
ensg00000007923,dnajc11
ensg00000228750,rp11-242f24.1
ensg00000237436,rp11-312b8.1
ensg00000171735,camta1
ensg00000227950,rp11-312b8.2
ensg00000237365,rp11-334n17.1
ensg00000207056,rnu1-8p
ensg00000237402,camta1-it1
ensg00000237728,rp3-453p22.2
ensg00000225126,rp4-549f15.1
ensg00000270171,rp11-338n10.1
ensg00000270035,rp11-338n10.2
ensg00000269978,rp11-338n10.3
ensg00000049245,vamp3
ensg00000269925,rp3-467l1.6
ensg00000049246,per3
ensg00000236266,rp3-467l1.4
ensg00000049247,uts2
ensg00000049249,tnfrsf9
ensg00000270330,rp5-892f13.2
ensg00000116288,park7
ensg00000200344,y_rna
ensg00000116285,errfi1
ensg00000238290,rp11-431k24.1
ensg00000232848,cta-215d11.4
ensg00000229305,rp11-431k24.2
ensg00000227634,rp11-431k24.3
ensg00000200975,rnu1-7p
ensg00000233645,rp11-431k24.4
ensg00000251977,rnu6-991p
ensg00000162426,slc45a1
ensg00000252254,y_rna
ensg00000142599,rere
ensg00000232912,rp5-1115a15.1
ensg00000221083,snora77
ensg00000270282,rp5-1115a15.2
ensg00000234619,rpl7p11
ensg00000224315,rpl7p7
ensg00000222511,y_rna
ensg00000226545,rp4-633i8.3
ensg00000228423,rp4-633i8.4
ensg00000229716,rpl23ap19
ensg00000074800,eno1
ensg00000274258,mir6728
ensg00000236269,eno1-it1
ensg00000230679,eno1-as1
ensg00000201725,rnu6-304p
ensg00000238249,hmgn2p17
ensg00000232208,rp3-477m7.5
ensg00000232663,rp3-477m7.6
ensg00000131686,ca6
ensg00000265141,rn7sl451p
ensg00000197241,slc2a7
ensg00000142583,slc2a5
ensg00000252404,scarna16
ensg00000180758,gpr157
ensg00000228526,mir34a
ensg00000234546,rp3-510d11.2
ensg00000281937,rp3-510d11.4
ensg00000049239,h6pd
ensg00000171621,spsb1
ensg00000252956,rna5sp40
ensg00000235263,rp13-392i16.1
ensg00000171612,slc25a33
ensg00000231181,rp13-15m17.1
ensg00000188807,tmem201
ensg00000171608,pik3cd
ensg00000179840,pik3cd-as1
ensg00000233268,rp11-558f24.2
ensg00000231789,pik3cd-as2
ensg00000171603,clstn1
ensg00000271264,mzt1p1
ensg00000280113,al357140.1
ensg00000178585,ctnnbip1
ensg00000223989,rp11-84a14.5
ensg00000162441,lzic
ensg00000228150,rp11-84a14.4
ensg00000173614,nmnat1
ensg00000202415,rn7skp269
ensg00000283611,rp11-84a14.6
ensg00000265521,mir5697
ensg00000241326,rp11-807g9.2
ensg00000162444,rbp7
ensg00000130939,ube4b
ensg00000224340,rp11-496h15.2
ensg00000233623,pgam1p11
ensg00000201746,rnu6-828p
ensg00000054523,kif1b
ensg00000264881,mir1273d
ensg00000199562,rnu6-37p
ensg00000264501,rn7sl731p
ensg00000142657,pgd
ensg00000271989,rp4-736l20.3
ensg00000251503,apitd1-cort
ensg00000175279,apitd1
ensg00000241563,cort
ensg00000160049,dffa
ensg00000203469,rp5-1113e3.3
ensg00000142655,pex14
ensg00000243267,rn7sl614p
ensg00000130940,casz1
ensg00000272078,rp4-734g22.3
ensg00000225158,hspe1p24
ensg00000175262,c1orf127
ensg00000215785,cfl1p6
ensg00000120948,tardbp
ensg00000277726,rp4-635e18.9
ensg00000009724,masp2
ensg00000271895,rp4-635e18.8
ensg00000116649,srm
ensg00000171824,exosc10
ensg00000226849,rp4-635e18.7
ensg00000230337,rp4-635e18.6
ensg00000198793,mtor
ensg00000225602,mtor-as1
ensg00000253086,rnu6-537p
ensg00000171819,angptl7
ensg00000207451,rnu6-291p
ensg00000238173,rpl39p6
ensg00000120942,ubiad1
ensg00000238199,ube2v2p3
ensg00000224338,mtcybp45
ensg00000204624,disp3
ensg00000235643,rp1-69m21.2
ensg00000116661,fbxo2
ensg00000132879,fbxo44
ensg00000116663,fbxo6
ensg00000116670,mad2l2
ensg00000162490,draxin
ensg00000177674,agtrap
ensg00000215910,c1orf167
ensg00000177553,rp11-56n19.5
ensg00000177000,mthfr
ensg00000011021,clcn6
ensg00000242349,nppa-as1
ensg00000276470,nppa-as1_1
ensg00000278852,nppa-as1_2
ensg00000175206,nppa
ensg00000275915,nppa-as1_3
ensg00000120937,nppb
ensg00000224904,rp5-934g17.6
ensg00000199347,rnu5e-1
ensg00000201801,rnu5e-4p
ensg00000116685,kiaa2013
ensg00000083444,plod1
ensg00000116688,mfn2
ensg00000270914,rp5-1077b9.5
ensg00000116691,miip
ensg00000202461,y_rna
ensg00000276869,mir6729
ensg00000243539,rn7sl649p
ensg00000120949,tnfrsf8
ensg00000201135,rnu6-777p
ensg00000227875,rpl23ap89
ensg00000028137,tnfrsf1b
ensg00000263676,mir4632
ensg00000225196,rp5-1118d24.2
ensg00000252969,snora70
ensg00000048707,vps13d
ensg00000239149,snora59a
ensg00000229484,rp5-888m10.2
ensg00000162496,dhrs3
ensg00000221340,rnu6atac18p
ensg00000276830,mir6730
ensg00000272482,rp11-474o21.5
ensg00000204518,aadacl4
ensg00000226166,rp11-474o21.2
ensg00000188984,aadacl3
ensg00000157330,c1orf158
ensg00000116726,pramef12
ensg00000116721,pramef1
ensg00000228338,rp5-845o24.8
ensg00000239810,pramef11
ensg00000231103,pramef30p
ensg00000179172,hnrnpcl1
ensg00000120952,pramef2
ensg00000243073,pramef4
ensg00000187545,pramef10
ensg00000204510,pramef7
ensg00000207434,rnu6-1072p
ensg00000234064,pramef29p
ensg00000232423,pramef6
ensg00000274178,pramef28p
ensg00000274764,pramef27
ensg00000229571,pramef25
ensg00000277058,hnrnpcl3
ensg00000277862,pramef34p
ensg00000236179,pramef35p
ensg00000275774,hnrnpcl2
ensg00000229978,pramef36p
ensg00000233336,rp13-221m14.2
ensg00000280267,pramef26
ensg00000179412,hnrnpcl4
ensg00000204505,pramef9
ensg00000279169,pramef13
ensg00000279804,pramef18
ensg00000250894,pramef31p
ensg00000270601,pramef5
ensg00000231219,pramef32p
ensg00000207511,rnu6-771p
ensg00000182330,pramef8
ensg00000204501,pramef15
ensg00000237700,pramef33p
ensg00000228229,rp11-219c24.10
ensg00000204481,pramef14
ensg00000204480,pramef19
ensg00000204479,pramef17
ensg00000204478,pramef20
ensg00000162494,lrrc38
