gene_id,gene_name
ensg00000189433,gjb4
ensg00000142700,dmrta2
ensg00000233514,""
ensg00000127124,hivep3
ensg00000266993,""
ensg00000229316,hmgb1p45
ensg00000234099,mtnd4p11
ensg00000137936,bcar3
ensg00000232752,mtco3p21
ensg00000235829,tbcap2
ensg00000143032,barhl2
ensg00000280040,snx7-dt
ensg00000117519,cnn3
ensg00000238037,oosp1p1
ensg00000134215,vav3
ensg00000227935,""
ensg00000228502,eef1a1p11
ensg00000271277,""
ensg00000236888,rps20p5
ensg00000230828,""
ensg00000152078,tlcd4
ensg00000171492,lrrc8d
ensg00000233129,""
ensg00000170989,s1pr1
ensg00000237897,matr3p3
ensg00000116299,elapor1
ensg00000137962,arhgap29
ensg00000286692,""
ensg00000260464,""
ensg00000231996,""
ensg00000117154,igsf21
ensg00000162377,coa7
ensg00000116774,olfml3
ensg00000287756,""
ensg00000284652,""
ensg00000023909,gclm
ensg00000069702,tgfbr3
ensg00000228399,""
ensg00000236776,rpl21p23
ensg00000271252,""
ensg00000235794,mtnd3p21
ensg00000233983,""
ensg00000198198,szt2
ensg00000116793,phtf1
ensg00000232918,rpl21p26
ensg00000183298,rpsap19
ensg00000117525,f3
ensg00000162699,dnaja1p5
ensg00000203914,hsp90b3p
ensg00000270457,""
ensg00000231987,linc01787
ensg00000229842,mtatp6p13
ensg00000198162,man1a2
ensg00000171517,lpar3
ensg00000203864,linc02868
ensg00000233482,""
ensg00000143079,cttnbp2nl
ensg00000232450,""
ensg00000235038,""
ensg00000173947,cimap3
ensg00000134198,tspan2
ensg00000279513,""
ensg00000117620,slc35a3
ensg00000162688,agl
ensg00000197106,slc6a17
ensg00000231072,gapdhp64
ensg00000185946,rnpc3
ensg00000162627,snx7
ensg00000265808,sec22b
ensg00000225923,""
ensg00000134247,ptgfrn
ensg00000162664,znf326
ensg00000134253,trim45
ensg00000223416,rps26p15
ensg00000179571,nbpf17p
ensg00000227850,septin2p1
ensg00000285532,linc02788
ensg00000226755,vps25p1
ensg00000183508,tent5c
ensg00000277095,""
ensg00000264145,""
ensg00000238256,mtnd5p20
ensg00000198765,sycp1
ensg00000143398,pip5k1a
ensg00000196505,gdap2
ensg00000223489,nefhp1
ensg00000230546,""
ensg00000213262,vdac2p3
ensg00000287015,""
ensg00000235526,""
ensg00000228347,ftlp17
ensg00000236012,higd1ap12
ensg00000134200,tshb
ensg00000065183,wdr3
ensg00000226126,psmc1p12
ensg00000163156,scnm1
ensg00000228453,rps15ap9
ensg00000261168,""
ensg00000233432,mtif2p1
ensg00000229911,""
ensg00000171943,srgap2c
ensg00000270719,""
ensg00000155761,spag17
ensg00000116830,ttf2
ensg00000234422,ube2wp1
ensg00000227091,slc6a17-as1
ensg00000081026,magi3
ensg00000143458,gabpb2
ensg00000230932,""
ensg00000225036,cdk4p1
ensg00000250890,""
ensg00000232240,""
ensg00000234388,txnp3
ensg00000233717,rps29p29
ensg00000163155,lysmd1
ensg00000241975,elocp19
ensg00000270976,""
ensg00000228217,pnrc2p1
ensg00000270342,""
ensg00000116824,cd2
ensg00000235887,linc02799
ensg00000235756,""
ensg00000173810,ppiap7
ensg00000271890,or10ae1p
ensg00000283360,""
ensg00000117262,gpr89a
ensg00000227970,nr1h5p
ensg00000231613,""
ensg00000236689,mtco2p21
ensg00000226028,pfn1p12
ensg00000203825,""
ensg00000184371,csf1
ensg00000233449,mtatp6p14
ensg00000242943,nkain1p1
ensg00000232499,""
ensg00000163154,tnfaip8l2
ensg00000232995,""
ensg00000238087,fmo8p
ensg00000143158,mpc2
ensg00000271092,tlcd4-rwdd3
ensg00000232148,fmo11p
ensg00000000460,firrm
ensg00000135862,lamc1
ensg00000232952,""
ensg00000260322,""
ensg00000143156,nme7
ensg00000198771,rcsd1
ensg00000225462,fdpsp1
ensg00000237756,""
ensg00000271187,""
ensg00000231175,linc01720
ensg00000143185,xcl2
ensg00000272931,lrrc8d-dt
ensg00000143190,pou2f1
ensg00000225475,""
ensg00000232223,cnn2p10
ensg00000224468,lamc1-as1
ensg00000232551,mtco1p14
ensg00000238270,""
ensg00000236025,""
ensg00000230704,""
ensg00000286754,""
ensg00000143171,rxrg
ensg00000275767,""
ensg00000047410,tpr
ensg00000171806,mettl18
ensg00000134216,chia
ensg00000230748,prelid1p7
ensg00000238108,""
ensg00000135842,niban1
ensg00000287472,""
ensg00000241318,wdr82p2
ensg00000228238,""
ensg00000232393,rpl5p6
ensg00000184155,or10j5
ensg00000058085,lamc2
ensg00000232917,hspe1p6
ensg00000233057,eef1a1p14
ensg00000143167,gpa33
ensg00000143184,xcl1
ensg00000224691,""
ensg00000233626,""
ensg00000143228,nuf2
ensg00000231714,""
ensg00000116833,nr5a2
ensg00000000457,scyl3
ensg00000285638,""
ensg00000230987,""
ensg00000228167,""
ensg00000150732,""
ensg00000157064,nmnat2
ensg00000288139,""
ensg00000059588,tarbp1
ensg00000162782,tdrd5
ensg00000238051,iscup1
ensg00000233196,""
ensg00000229220,""
ensg00000227747,""
ensg00000228081,""
ensg00000228020,hnrnpa1p46
ensg00000234975,fth1p2
ensg00000162851,tfb2m
ensg00000271427,""
ensg00000143353,lyplal1
ensg00000197965,mpzl1
ensg00000143493,ints7
ensg00000230777,rps29p5
ensg00000179397,catspere
ensg00000224540,tfdp1p1
ensg00000186197,edaradd
ensg00000229067,""
ensg00000261182,linc03121
ensg00000162670,brinp3
ensg00000225712,atp5mc2p1
ensg00000162761,lmx1a
ensg00000143199,adcy10
ensg00000007908,sele
ensg00000092978,gpatch2
ensg00000188404,sell
ensg00000274702,""
ensg00000226211,""
ensg00000203697,capn8
ensg00000116574,rhou
ensg00000143248,rgs5
ensg00000162814,spata17
ensg00000225172,""
ensg00000261642,""
ensg00000228239,""
ensg00000237283,""
ensg00000116132,prrx1
ensg00000229242,""
ensg00000152092,astn1
ensg00000234984,fmo10p
ensg00000229983,""
ensg00000225122,""
ensg00000225920,rimklbp2
ensg00000143476,dtl
ensg00000057252,soat1
ensg00000285718,""
ensg00000233018,""
ensg00000224783,mipepp2
ensg00000162852,cnst
ensg00000268062,srp14p4
ensg00000116962,nid1
ensg00000229757,rpl7ap21
ensg00000220749,rpl21p28
ensg00000181450,znf678
ensg00000225300,""
ensg00000223842,""
ensg00000143355,lhx9
ensg00000237193,""
ensg00000223490,chchd2p5
ensg00000174502,slc26a9
ensg00000143195,ildr2
ensg00000162849,kif26b
ensg00000232824,prr13p1
ensg00000067533,rrp15
ensg00000228955,rpl7ap82
ensg00000224702,lmx1a-as2
ensg00000271811,""
ensg00000224278,""
ensg00000226486,linc01035
ensg00000227687,""
ensg00000231814,linc00210
ensg00000277007,""
ensg00000229016,""
ensg00000152104,ptpn14
ensg00000117650,nek2
ensg00000203724,c1orf53
ensg00000225006,""
ensg00000223375,""
ensg00000230714,""
ensg00000173726,tomm20
ensg00000282852,""
ensg00000152382,tada1
ensg00000232100,linc01653
ensg00000230547,hmgb1p11
ensg00000232215,or2l6p
ensg00000135829,dhx9
ensg00000134717,btf3l4
ensg00000278180,""
ensg00000232341,rpl4p2
ensg00000287676,""
ensg00000236792,""
ensg00000143207,cop1
ensg00000270859,""
ensg00000238224,""
ensg00000237492,or2l9p
ensg00000150681,rgs18
ensg00000116906,gnpat
ensg00000092969,tgfb2
ensg00000157181,odr4
ensg00000250762,""
ensg00000076258,fmo4
ensg00000117697,nsl1
ensg00000235083,""
ensg00000162669,hfm1
ensg00000225904,morf4l1p7
ensg00000143641,galnt2
ensg00000010932,fmo1
ensg00000010072,sprtn
ensg00000135766,egln1
ensg00000238054,""
ensg00000168243,gng4
ensg00000281453,tgfb2-ot1
ensg00000237469,tubb8p10
ensg00000227613,qrsl1p2
ensg00000116183,pappa2
ensg00000231612,""
ensg00000271036,clptm1lp1
ensg00000170382,lrrn2
ensg00000226868,""
ensg00000279401,""
ensg00000287450,""
ensg00000237011,""
ensg00000066027,ppp2r5a
ensg00000173728,spmip3
ensg00000225811,""
ensg00000273093,""
ensg00000185523,spata45
ensg00000116711,pla2g4a
ensg00000226750,""
ensg00000285665,top1p1
ensg00000231022,rps3ap9
ensg00000224436,""
ensg00000234915,""
ensg00000227585,""
ensg00000157060,shcbp1l
ensg00000237213,rpl23ap22
ensg00000213045,""
ensg00000230063,""
ensg00000235467,rpl10ap5
ensg00000123684,lpgat1
ensg00000225338,rpl23ap18
ensg00000224407,""
ensg00000232463,""
ensg00000225171,dutp6
ensg00000235386,""
ensg00000213690,""
ensg00000229832,""
ensg00000237514,ptp4a1p7
ensg00000287856,""
ensg00000203705,tatdn3
ensg00000224040,hmgn1p4
ensg00000228686,""
ensg00000174175,selp
ensg00000236401,slc4a1app2
ensg00000215800,rsl24d1p4
ensg00000270936,bpnt2p1
ensg00000008118,camk1g
ensg00000171161,znf672
ensg00000241505,""
ensg00000261453,linc01735
ensg00000231020,""
ensg00000270818,""
ensg00000196878,lamb3
ensg00000225561,linc01710
ensg00000074964,arhgef10l
ensg00000223847,""
ensg00000277704,""
ensg00000240963,""
ensg00000226570,""
ensg00000198929,nos1ap
ensg00000174606,angel2
ensg00000236905,""
ensg00000227887,rps26p13
ensg00000116903,exoc8
ensg00000226196,gapdhp75
ensg00000287354,""
ensg00000233827,ccnqp1
ensg00000198797,brinp2
ensg00000151414,nek7
ensg00000177614,pgbd5
ensg00000235182,""
ensg00000287157,""
ensg00000225755,trnt1p1
ensg00000197472,znf695
ensg00000230184,smyd3-it1
ensg00000232436,""
ensg00000136643,rps6kc1
ensg00000236317,""
ensg00000176855,krt18p28
ensg00000225401,tgif2p1
ensg00000228190,rpl23ap16
ensg00000135747,znf670-znf695
ensg00000069248,nup133
ensg00000253148,rgs21
ensg00000227751,rcc2-as1
ensg00000090104,rgs1
ensg00000236468,eef1a1p44
ensg00000185220,pgbd2
ensg00000236101,rac1p7
ensg00000162769,flvcr1
ensg00000278684,""
ensg00000236775,""
ensg00000042781,ush2a
ensg00000228646,rpl31p13
ensg00000233332,""
ensg00000231984,""
ensg00000277462,znf670
ensg00000035687,adss2
ensg00000180287,pld5
ensg00000226693,nxnp1
ensg00000231272,""
ensg00000223828,banf1p4
ensg00000226723,""
ensg00000272672,""
ensg00000235096,""
ensg00000007341,st7l
ensg00000143324,xpr1
ensg00000225222,chchd4p5
ensg00000198842,styxl2
ensg00000286619,pm20d1-as1
ensg00000198756,colgalt2
ensg00000227554,""
ensg00000178596,gapdhp29
ensg00000054282,sdccag8
ensg00000183780,slc35f3
ensg00000229663,dpy19l4p1
ensg00000162702,znf281
ensg00000228530,""
ensg00000143194,mael
ensg00000054267,arid4b
ensg00000287921,""
ensg00000232166,""
ensg00000175137,sh3bp5l
ensg00000134245,wnt2b
ensg00000187889,fyb2
ensg00000097046,cdc7
ensg00000231378,ndufaf4p4
ensg00000235605,""
ensg00000224857,linc01691
ensg00000273367,""
ensg00000231605,linc01363
ensg00000236358,""
ensg00000203737,gpr52
ensg00000215873,fen1p1
ensg00000185420,smyd3
ensg00000272175,""
ensg00000213070,hmgb3p6
ensg00000229747,""
ensg00000136636,kctd3
ensg00000225486,""
ensg00000163874,zc3h12a
ensg00000213068,""
ensg00000054392,hhat
ensg00000188739,rbm34
ensg00000273198,""
ensg00000225719,nmnat1p2
ensg00000273483,""
ensg00000232809,vdac1p10
ensg00000285981,""
ensg00000215796,""
ensg00000233047,linc01677
ensg00000143341,hmcn1
ensg00000116703,pdc
ensg00000264341,""
ensg00000264101,mir4689
ensg00000252404,""
ensg00000243267,rn7sl614p
ensg00000252151,rnu6-1265p
ensg00000252969,snora70
ensg00000252956,rna5sp40
ensg00000284357,mir34a
ensg00000207237,rnu6-110p
ensg00000252691,""
ensg00000253005,rnu6-176p
ensg00000207941,mir552
ensg00000199963,rnu6-605p
ensg00000264698,mir4255
ensg00000207328,rnu6-636p
ensg00000207466,y_rna
ensg00000252368,rna5sp43
ensg00000206779,y_rna
ensg00000200796,rnu6-753p
ensg00000252190,""
ensg00000283724,mir6732
ensg00000284410,mir6733
ensg00000252018,rnu2-30p
ensg00000206627,rnu6-969p
ensg00000283414,u6
ensg00000207508,rnu6-1237p
ensg00000200171,y_rna
ensg00000207194,rnu6-1026p
ensg00000283477,mir6079
ensg00000263675,mir5581
ensg00000238653,rnu7-62p
ensg00000212624,""
ensg00000200575,rnu6-414p
ensg00000212360,rnu6-1177p
ensg00000251825,rn7skp19
ensg00000222624,rnu2-15p
ensg00000223152,rnu4-88p
ensg00000212308,rna5sp23
ensg00000276081,mir7156
ensg00000239640,rn7sl62p
ensg00000252338,rnu6-503p
ensg00000239319,rn7sl854p
ensg00000251767,rnu7-8p
ensg00000202263,rna5sp22
ensg00000199318,rna5sp52
ensg00000199666,snord3g
ensg00000200601,rna5sp50
ensg00000242482,rn7sl392p
ensg00000201620,rna5sp51
ensg00000206817,y_rna
ensg00000264963,rn7sl440p
ensg00000198974,mir30e
ensg00000212248,rnu6-750p
ensg00000207962,mir30c1
ensg00000207234,rnu6-125p
ensg00000202259,rnu6-1318p
ensg00000212459,rnu6-695p
ensg00000263526,mir378g
ensg00000211575,mir760
ensg00000202254,y_rna
ensg00000201491,rnu4-75p
ensg00000275455,mir7852
ensg00000200800,rnu1-130p
ensg00000252530,rnu6-965p
ensg00000200536,""
ensg00000211543,mir320b1
ensg00000252797,rn7skp272
ensg00000212266,""
ensg00000222209,rna5sp56
ensg00000277141,metazoa_srp
ensg00000215930,mir942
ensg00000238761,""
ensg00000222069,rn7skp285
ensg00000252005,rnu4atac8p
ensg00000252510,rna5sp55
ensg00000252830,rna5sp533
ensg00000283296,mir4256
ensg00000252717,rnu6-352p
ensg00000277313,7sk
ensg00000207472,rnu6-41p
ensg00000199849,rnu5f-6p
ensg00000212538,u3
ensg00000251813,rnu6-983p
ensg00000207108,y_rna
ensg00000202491,rnu6-716p
ensg00000201596,y_rna
ensg00000273629,u7
ensg00000201493,rnu1-141p
ensg00000200139,rnu6-778p
ensg00000253025,rnu2-12p
ensg00000201544,snora16b
ensg00000202498,snord116
ensg00000221545,mir1255b2
ensg00000252906,scarna3
ensg00000202329,rnu6-609p
ensg00000242794,rn7sl299p
ensg00000283340,mir3119-1
ensg00000252860,rnu6-570p
ensg00000263390,mir3119-2
ensg00000207181,snora14b
ensg00000264377,mir4671
ensg00000207149,rnu6-465p
ensg00000284485,mir205
ensg00000239494,rn7sl333p
ensg00000199442,y_rna
ensg00000239690,rn7sl668p
ensg00000202184,rnu6-1283p
ensg00000241395,rn7sl344p
ensg00000200982,y_rna
ensg00000222407,rna5sp80
ensg00000200495,rnu6-1205p
ensg00000202609,mir488
ensg00000252553,rna5sp73
ensg00000222240,rn7skp156
ensg00000212187,""
ensg00000200036,rna5sp65
ensg00000212610,u3
ensg00000200327,rna5sp62
ensg00000200972,rnu5a-8p
ensg00000252011,""
ensg00000207326,y_rna
ensg00000212205,y_rna
ensg00000264358,mir3122
ensg00000212527,rna5sp63
ensg00000252879,rn7skp98
ensg00000202264,rna5sp77
ensg00000285609,5s_rrna
ensg00000252084,rn7skp12
ensg00000200085,y_rna
ensg00000264500,mir3124
ensg00000202025,rnu6-1240p
ensg00000225545,""
ensg00000206990,y_rna
ensg00000230175,""
ensg00000225272,rpl21p27
ensg00000273365,""
ensg00000230659,""
ensg00000162545,camk2n1
ensg00000090432,mul1
ensg00000215520,rps4xp4
ensg00000183114,fam43b
ensg00000158825,cda
ensg00000158828,pink1
ensg00000284005,mir6084
ensg00000117242,pink1-as
ensg00000234473,znf101p2
ensg00000238754,scarna18b
ensg00000221680,mir1278
ensg00000162630,b3galt2
ensg00000276735,metazoa_srp
ensg00000229639,linc01758
ensg00000287453,""
ensg00000270615,sgo1p1
ensg00000287283,""
ensg00000240692,rn7sl538p
ensg00000237919,lrrc7-as1
ensg00000066557,lrrc40
ensg00000244389,rn7sl242p
ensg00000228988,""
ensg00000118454,ankrd13c
ensg00000116761,cth
ensg00000278636,metazoa_srp
ensg00000271992,""
ensg00000237033,casp3p1
ensg00000007968,e2f2
ensg00000117318,id3
ensg00000229239,eef1a1p48
ensg00000142676,rpl11
ensg00000057757,pithd1
ensg00000117308,gale
ensg00000273844,""
ensg00000235748,septin14p12
ensg00000221879,mrps21p3
ensg00000230260,""
ensg00000199241,y_rna
ensg00000223963,thap12p8
ensg00000215802,rfkp1
ensg00000233615,hnrnpa1p42
ensg00000238085,""
ensg00000265831,mir3123
ensg00000224348,rpl36p6
ensg00000287738,""
ensg00000132703,apcs
ensg00000276632,""
ensg00000223603,crpp1
ensg00000132693,crp
ensg00000235226,""
ensg00000158716,dusp23
ensg00000181036,fcrl6
ensg00000158714,slamf8
ensg00000212161,""
ensg00000243284,vsig8
ensg00000213085,cfap45
ensg00000266458,mir4259
ensg00000287040,""
ensg00000279430,""
ensg00000162723,slamf9
ensg00000273933,""
ensg00000256029,""
ensg00000188004,snhg28
ensg00000266580,mir4254
ensg00000254545,""
ensg00000269967,""
ensg00000228634,""
ensg00000284702,""
ensg00000221040,u3
ensg00000163399,atp1a1
ensg00000212385,rnu6-817p
ensg00000200547,y_rna
ensg00000224950,""
ensg00000177888,zbtb41
ensg00000243364,efna4
ensg00000251246,efna4-efna3
ensg00000143590,efna3
ensg00000202027,y_rna
ensg00000169242,efna1
ensg00000169241,slc50a1
ensg00000223452,hmgn2p18
ensg00000163463,krtcap2
ensg00000273088,""
ensg00000284586,mir92b
ensg00000169231,thbs3
ensg00000177628,gba1
ensg00000143630,hcn3
ensg00000143627,pklr
ensg00000253074,rnu6-586p
ensg00000252116,rnu4atac4p
ensg00000228523,dnajb6p4
ensg00000223263,rnu6-387p
ensg00000207504,rnu6-1031p
ensg00000238139,""
ensg00000197721,cr1l
ensg00000244703,cd46p1
ensg00000226289,cdca4p3
ensg00000285239,""
ensg00000234219,cdca4p4
ensg00000174059,cd34
ensg00000158731,or10j6p
ensg00000201746,rnu6-828p
ensg00000264881,""
ensg00000199562,rnu6-37p
ensg00000264501,rn7sl731p
ensg00000284735,""
ensg00000284642,""
ensg00000142657,pgd
ensg00000271989,""
ensg00000251503,cenps-cort
ensg00000175279,cenps
ensg00000160049,dffa
ensg00000203469,""
ensg00000236035,nsa2p1
ensg00000221643,snora77
ensg00000227417,""
ensg00000223505,rpl35ap5
ensg00000182004,snrpe
ensg00000236430,krt8p29
ensg00000130768,smpdl3b
ensg00000227050,""
ensg00000238231,""
ensg00000240750,rn7sl559p
ensg00000158156,xkr8
ensg00000182118,fam89a
ensg00000283799,mir1182
ensg00000227934,""
ensg00000229595,""
ensg00000143633,c1orf131
ensg00000281912,linc01144
ensg00000288208,""
ensg00000132773,toe1
ensg00000070759,tesk2
ensg00000236872,ppiap36
ensg00000280670,ccdc163
ensg00000132763,mmachc
ensg00000226164,fgfr3p6
ensg00000224014,""
ensg00000215795,""
ensg00000259865,""
ensg00000283881,mir3916
ensg00000252516,rna5sp82
ensg00000214144,""
ensg00000235818,vn1r17p
ensg00000202079,y_rna
ensg00000169224,gcsaml
ensg00000177489,or2g2
ensg00000177476,or2g3
ensg00000283369,u6
ensg00000230411,or3d1p
ensg00000251977,rnu6-991p
ensg00000252254,y_rna
ensg00000227854,""
ensg00000215805,""
ensg00000228818,""
ensg00000202041,y_rna
ensg00000223694,adh5p3
ensg00000233735,""
ensg00000133019,chrm3
ensg00000162636,eeig2
ensg00000162639,henmt1
ensg00000134186,prpf38b
ensg00000143107,fndc7
ensg00000232971,""
ensg00000116266,stxbp3
ensg00000228076,""
ensg00000237349,""
ensg00000244716,rpl17p7
ensg00000228665,rps27p6
ensg00000228054,ranp5
ensg00000273382,tmem167b-dt
ensg00000215717,tmem167b
ensg00000278249,scarna2
ensg00000251484,""
ensg00000132676,dap3
ensg00000227673,""
ensg00000234937,""
ensg00000132718,syt11
ensg00000283442,u4
ensg00000132680,khdc4
ensg00000207475,snora80e
ensg00000280466,scarna4
ensg00000281394,scarna4
ensg00000277817,mir6738
ensg00000224276,arhgef2-as1
ensg00000163479,ssr2
ensg00000160803,ubqln4
ensg00000132698,rab25
ensg00000252236,""
ensg00000260238,pmf1-bglap
ensg00000242252,bglap
ensg00000198952,smg5
ensg00000163472,tmem79
ensg00000163468,cct3
ensg00000132677,rhbg
ensg00000207933,mir9-1
ensg00000254726,mex3a
ensg00000186377,cyp4x1
ensg00000186160,cyp4z1
ensg00000225154,tubap9
ensg00000225514,mtnd1p34
ensg00000162366,pdzk1ip1
ensg00000226252,""
ensg00000186790,foxe3
ensg00000237424,foxd2-as1
ensg00000189030,vhll
ensg00000162763,lrrc52
ensg00000143061,igsf3
ensg00000203740,ntmt2
ensg00000162374,elavl4
ensg00000168275,coa6
ensg00000241563,cort
ensg00000153207,ahctf1
ensg00000156869,frrs1
ensg00000033122,lrrc7
ensg00000143278,f13b
ensg00000116678,lepr
ensg00000159352,psmd4
ensg00000158710,tagln2
ensg00000049239,h6pd
ensg00000186564,foxd2
ensg00000244038,ddost
ensg00000116690,prg4
ensg00000126091,st3gal3
ensg00000171163,znf692
ensg00000172456,fggy
ensg00000158786,pla2g2f
ensg00000118733,olfm3
ensg00000157870,prxl2b
ensg00000179085,dpm3
ensg00000173080,rxfp4
ensg00000276470,""
ensg00000278852,""
ensg00000275915,""
ensg00000120937,nppb
ensg00000224904,sbf1p2
ensg00000199347,rnu5e-1
ensg00000201801,rnu5e-4p
ensg00000083444,plod1
ensg00000287384,""
ensg00000270914,""
ensg00000116691,miip
ensg00000202461,y_rna
